,id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
5242,1358001338718670850,Harish S #DestroyTheAadhaar #BanDigitalElections,"Bombay, India.",No effort makes a black crow into a white hawk. ~ Anwar-i-Suhaili / @AlterHash62 @Hash62@mastodon.social,2010-03-30 03:11:35,1243,1375,17809,False,2021-02-06 10:35:24,The story of #PfizerBioNtech and #Covax Vaccine approval / rejection process by the Subject Expert Committee in fou… https://t.co/2HsBSjgElo,"['PfizerBioNtech', 'Covax']",Twitter for Android,0,0,False
4947,1355249845750140930,Alice Park,New York NY,"Health and medicine (and occasional Olympics) national correspondent for @TIME. Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",2009-03-31 19:42:57,13399,448,107,True,2021-01-29 20:21:57,"Why it's not fair to directly compare #Janssen vaccine effectiveness to others from #Moderna and #PfizerBioNTech 
https://t.co/o1ExtHiTPf","['Janssen', 'Moderna', 'PfizerBioNTech']",Twitter Web App,24,46,False
2748,1347268481855717382,CYPOT @ CLCH,London Tri-borough,Children & Young People's Occupational Therapy (CYPOT) at @CLCHNHSTrust. Supporting Children & Young People to participate in what they need/want to do! 🧩,2020-03-26 09:23:18,343,342,889,False,2021-01-07 19:46:51,Our team are starting to receive their vaccinations against #COVID19 thanks to the tremendous efforts of… https://t.co/l0PibnEjLZ,['COVID19'],Twitter Web App,2,10,False
1719,1343277696055443456,JudgeMental BsC,,"Veteran schizophrenic ; anti-social #socialist. MAD; possibly; ANGRY, definately.Rants & Reflections all my own. Tory Hater.",2014-01-05 18:36:10,1329,1118,18174,False,2020-12-27 19:28:54,I'm still unsure as to whether or not I will have the  #PfizerBioNTech  vaccine.,['PfizerBioNTech'],Twitter Web App,0,0,False
6401,1366478096971427840,Mark Francisco,Dubai,Cruise vlogger 🛳 globe-trotter ⚓️ aviation geek ✈️ proud Pinoy 🇵🇭 Check out my YouTube channel,2013-10-28 09:10:21,267,188,1738,False,2021-03-01 19:59:00,Got my #PfizerBioNTech #vaccine 1st dose 4 days ago thanks to #MyDubai ❤️🇦🇪 Less than 3 weeks to go till I get full… https://t.co/FlUevNieSK,"['PfizerBioNTech', 'vaccine', 'MyDubai']",Twitter for iPhone,0,0,False
2133,1345478222415351809,Sue Reeve ♥️🧡💛💚💙💜🇪🇺🇪🇺🏳️‍🌈🏳️‍🌈,Glasgow environs.,"Londoner now living in Glasgow suburbs via The Cotswolds & Manchester. Likes news & current affairs, local produce, cricket, cats. Rebellious Catholic. I❤️Mcr",2010-12-28 19:17:39,1393,2204,57830,False,2021-01-02 21:13:00,"@jbecole Didn’t realise she’d had dose 1. #PfizerBioNTech one?
She must have the 2nd dose, and will.
A friend of mi… https://t.co/DUxWpv4aJ1",['PfizerBioNTech'],Twitter for iPad,0,1,False
10408,1436373907641036800,All about Germany | deutschland.de,Frankfurt a.M.,"Stay up to date on what's happening in 🇩🇪 and our global outreach to all regions of the 🌍.
Recommendations: @ger_trends & @ger_service
💡🔗 https://t.co/JTO1dmJvH5",2009-02-17 11:53:42,294895,2645,10923,True,2021-09-10 17:00:00,"Will the #PfizerBiontech vaccine soon be approved for 5-to-11-year-olds? 

As autumn is approaching,… https://t.co/QtT9lpBlfC",['PfizerBiontech'],Sprinklr Publishing,0,9,False
3015,1348051362395910150,babak sarfaraz,,,2009-07-28 17:53:48,2238,785,139212,False,2021-01-09 23:37:45,"@iran_policy #Iran:#Coronavirus Death Toll Exceeds199,300
.@Maryam_Rajavi:Khamenei’s Red Crescent announced a ban o… https://t.co/rbyiRwmXtL","['Iran', 'Coronavirus']",Twitter Web App,0,0,False
9697,1425321747864334344,ballcheese,"Tampa, Florida","I am just here today. And I might be gone tomorrow, Dialysis Diabetic  Alive by the Grace of God. Pro-God, Pro-Family, Computer Consultant. Go Duke!",2021-02-04 10:19:16,35,74,1975,False,2021-08-11 05:02:40,@ABC I wish #PfizerBiontech  would file a defamation lawsuit against #FoxNews and #Tuckums,"['PfizerBiontech', 'FoxNews', 'Tuckums']",Twitter Web App,0,0,False
4387,1353255961843138564,Solange,,"“The purpose of life is to contribute in some way to making things better.”
― Robert F. Kennedy",2011-07-09 07:24:26,196,347,6003,False,2021-01-24 08:18:58,So far (at the time of writing) there have been 33 deaths in Norway related to the Covid vaccine. Experts are sayin… https://t.co/2RqxqLy53X,,Twitter Web App,1,0,False
554,1339294725770244097,Khaleej Times,United Arab Emirates,"The official Twitter feed of Khaleej Times, the UAE's first and leading English daily
https://t.co/OaJ0rBBfak",2009-01-11 07:56:56,600500,1158,530,True,2020-12-16 19:42:00,"#USA wants more #PfizerBioNTech #coronavirus #vaccine doses:
https://t.co/tsbAt8dQbA","['USA', 'PfizerBioNTech', 'coronavirus', 'vaccine']",Twitter Web App,1,4,False
8157,1394693907653533696,Ian Sharkey,,,2013-10-19 12:05:58,675,950,29417,False,2021-05-18 16:38:34,Fully vaccinated #openthecountry #aweedropofpfizer #PfizerBiontech https://t.co/fEGOAXuegu,"['openthecountry', 'aweedropofpfizer', 'PfizerBiontech']",Twitter for Android,0,62,False
9340,1419492772738859008,Francis,Limay Bataan,"I don't get mad, I get even",2019-05-20 04:57:48,67,146,1727,False,2021-07-26 03:00:24,"Fully vaccinated
#Pfizerbiontech https://t.co/MvWVHSSEVo",['Pfizerbiontech'],Twitter for Android,0,1,False
805,1340258302349991938,Laavanya Damodaran,Birmingham Children's Hospital,Consultant Paediatric Liaison & Neuropsychiatrist @bham_childrens @bwc_nhs #integratemindbody #neurodevelopmentalconditions #ChildrensEpilepsySurgeryService,2011-11-19 23:03:09,180,355,901,False,2020-12-19 11:30:54,A huge thank you to everyone involved in the COVID vaccination programme. Dose 1 of 2. Ensuring the safety of every… https://t.co/X9reAsiNij,,Twitter for Android,2,15,False
9295,1418948716548038660,denise brockmann,,Just ask ;),2009-08-20 14:46:25,26,143,275,False,2021-07-24 14:58:31,Got vaccinated yesterday and oh boy…my arm is so sore and hurts. But I am so thankful for having my one dose after… https://t.co/jwDNFnmclF,,Twitter for iPhone,0,1,False
3171,1348715477934211078,kambiz mahmoudpour - مسول انجمن آزادی ادیان,Denmark,"My heart beating for peace, freedom & equality",2009-08-26 18:38:03,4535,4973,165150,False,2021-01-11 19:36:42,".@antonioguterres 
#Iran Khamenei’s ban on the purchase of #PfizerBioNTech  #COVIDvaccines is a… https://t.co/ngUfXq1Ipn","['Iran', 'PfizerBioNTech', 'COVIDvaccines']",Twitter Web App,0,0,False
2375,1346361217820966913,Samir Kalia,"Delhi~Gurgaon, India🇮🇳🌍🌏🌎","MD, MCI GeTS India Pvt Ltd, @MCIIndiaLive, @Gets_Holidays; Adventurer #Entrepreneur; https://t.co/MTYUpsQ7U8 ~ https://t.co/C5vAJLI66I",2018-02-12 12:02:05,110,68,1962,False,2021-01-05 07:41:43,"#CovidVaccines: #CovidVaccine comparison, end Dec:

'A side-by-side comparison of the Pfizer/BioNTech and Moderna v… https://t.co/KelGC0VqLB","['CovidVaccines', 'CovidVaccine']",Twitter Web App,2,1,False
996,1340991592711266306,Ayah Galal,,Reporter/MMJ @WFSBNews | @QuinnipiacU alum | @CTSPJ board member | coffee enthusiast | CT born & raised | RTs & likes ≠ endorsements,2014-07-23 17:59:02,1323,1597,6691,False,2020-12-21 12:04:44,"JUST IN: @GovNedLamont has announced approval of Moderna’s vaccine. The governor says CT is expecting 63,300 doses… https://t.co/4hDtQ5b3Ap",,Twitter for iPhone,0,1,False
640,1339844084249333760,Xavier Remis,"Nancy, France","Père, mari, professeur agrégé d’histoire retraité, professeur de cinéma, éternel étudiant, citoyen. Social-démocrate keynésien. Athée. Né à Gijón (España).",2009-07-03 04:38:03,1874,4984,21842,False,2020-12-18 08:04:57,"Happy new year!
#PfizerBioNTech #Moderna https://t.co/RAWL0hxQZS","['PfizerBioNTech', 'Moderna']",Twitter Web App,0,1,False
6784,1370024875214077961,Nic,Canada,tea drinker,2019-07-24 17:11:09,7,6,81,False,2021-03-11 14:52:38,"@serenatinari @bmj_latest some tags that should be added:

#mRNA
#mrnavaccine 
#PfizerCovidVaccine
#PfizerBiontech… https://t.co/jrNZdH0ITi","['mRNA', 'mrnavaccine', 'PfizerCovidVaccine', 'PfizerBiontech']",Twitter Web App,0,6,False
5084,1356950849533190145,Andreas Heim,,,2016-06-07 14:54:58,71,1352,11434,False,2021-02-03 13:01:08,#Pfizer's #COVID-19 #vaccine less effective against #SouthAfricanvariant https://t.co/r8Iwwj3whd #SouthAfrica… https://t.co/ENTq3nSe9x,"['Pfizer', 'COVID', 'vaccine', 'SouthAfricanvariant', 'SouthAfrica']",Twitter Web App,0,0,False
750,1339495590116302848,Hussain Maqbool Ahmed,"Edmonton, Alberta, CAN",Nurse_Educator_Researcher_Ethicist,2013-04-01 07:06:59,260,459,7860,False,2020-12-17 09:00:09,"@SE_MacDonald And few injections at the end to represent #COVID19 #vaccines? 

#PfizerBioNTech #CovidVaccine","['COVID19', 'vaccines', 'PfizerBioNTech', 'CovidVaccine']",Twitter for Android,0,0,False
7698,1379491919961731075,Virama Oller,"Homestead, FL",,2009-05-26 03:45:22,175,223,34,False,2021-04-06 17:51:18,2nd vaccine ✔️✔️ I am happy to have completed my doses... Hopefully this Pandemic will soon be behind us...… https://t.co/i8vnKBvRvj,,Instagram,0,0,False
7553,1378813131695259670,Calin A. 🇪🇺#FBPE #Rezist #LebanonInOurHearts,,"Those who’d give up essential liberty to purchase a little temporary safety, deserve neither liberty nor safety! The day we give in is the day we DIE!",2012-10-09 14:51:11,740,1087,52522,False,2021-04-04 20:54:02,@PegasusAngel Got my 2nd #PfizerBiontech on March 29!!!! 🤘🏻🎉 And #COVIDIOTS say that #BillGates has chipped us now!… https://t.co/VmBjzuA9PX,"['PfizerBiontech', 'COVIDIOTS', 'BillGates']",Twitter for iPhone,0,1,False
3692,1350067819174629379,KneelB4Zod!™,Citizen of the State,"Proud member of the ""Kremlin bot family"", cyber Shabiha. Everything the globalist scum hates. Your hate = my strenght. 🇨🇿

ACAB",2014-05-25 21:39:45,224,170,13695,False,2021-01-15 13:10:25,At least 23 people died in #Norway after #PfizerBioNTech #COVID19 jab. Norwegian Medical watchdog links at least 13… https://t.co/eAhuKv9O9y,"['Norway', 'PfizerBioNTech', 'COVID19']",Twitter Web App,0,0,False
4980,1355661800440647681,jsavill,"Logan, Queensland, Australia","💧#MedLabScientist, Retired. Progressive #DemocraticSocialist, Left of #Labor, Research #LifeSciences, #Finance, #Climate 💧Block RWNJ. Welcome to my tribe 🙏🏽",2015-02-19 12:54:49,1818,4531,671,False,2021-01-30 23:38:54,@SenKatyG @Mark_Butler_MP #Health Minister @JEChalmers @AlboMP Question for Fed Parl Tuesday? Where are #Aussies in… https://t.co/9TuReLqzjx,"['Health', 'Aussies']",Twitter for iPhone,0,0,False
3767,1350507588958482432,Marc H,Planet Earth,"Interested in Volunteering, Fundraising. Here to comment & interact on current events & Research. I tweet in English and French.",2014-08-03 18:17:01,70,193,7321,False,2021-01-16 18:17:55,"What is the percentage of people who had side effects from #PfizerBioNTech #Vaccine worldwide?  

People should do… https://t.co/na2mXFt72Y","['PfizerBioNTech', 'Vaccine']",Twitter Web App,0,0,False
6228,1364870162931941376,Danielle Ellen,,"Screenwriter and lover of stories. Lecturer. New Englander, New Yorker & Expat. MST Creative Writing (Oxford). DFI (IFP) Series Lab alum. Go Pats & Sox. She/her",2009-03-22 20:10:37,215,634,4003,False,2021-02-25 09:29:39,Didn't feel the needle. 10/10 would recommend. #PfizerBioNTech https://t.co/x4tMJ9ymuA,['PfizerBioNTech'],Twitter for Android,0,4,False
7898,1384173904424366090,Yuval Koren,San Francisco Bay Area,"Building great teams and market defining products.
Entrepreneur, developer, dad.",2011-06-17 04:48:05,109,194,158,False,2021-04-19 15:55:50,Hello dose 1 #PfizerBioNTech https://t.co/D294LCfUHg,['PfizerBioNTech'],Twitter for iPhone,0,0,False
1458,1341285560162213888,New Straits Times,Malaysia,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/S8jbx5pMaF",2009-07-09 09:04:01,732499,423,931,True,2020-12-22 07:32:52,"#NSTnation The Science, Technology and Innovation Minister in a series of tweets said he would hold a press confere… https://t.co/1Ye5CDOym7",['NSTnation'],Twitter Web App,3,6,False
2968,1348251774780645377,Georgie,"South East, England",Just a small town girl,2020-08-23 08:17:51,34,21,387,False,2021-01-10 12:54:07,"Worried about the COVID vaccine? I’m a NHS Dental Nurse, had my vaccine on Friday. 

My side effects:

-Painful arm… https://t.co/1MCtOubuWI",,Twitter for iPhone,0,0,False
5377,1358820403523821573,"Arief Wijaya, MSc MPh",Rotterdam,"#InfectiousDisease Clinical Pharmacist, Economist, Proud Indonesian. 
Pharmacy @univ_indonesia, Economics @undip #ScienceMatters #StaySafe",2020-02-06 09:57:51,152,239,8270,False,2021-02-08 16:50:04,@Vaccinologist Emerging evidence that the #PfizerBiontech #vaccine may reduce the viral load in those infected with… https://t.co/i7HY5D0cxI,"['PfizerBiontech', 'vaccine']",Twitter Web App,4,4,False
611,1339176495202242560,MyFoodwalla,India,"Food , Grocery and Medicine Delivery app
Social networking site Marketing.Offical twitter Handle for information on product and services of company.",2020-01-01 12:03:31,14,160,36,False,2020-12-16 11:52:11,"WHO caution civilian of mutations of covid19 virus.
#Pfizer
#COVID19Vaccine
#COVIDSecondWave
#PfizerBioNTech
https://t.co/I7Y8Uc0COn","['Pfizer', 'COVID19Vaccine', 'COVIDSecondWave', 'PfizerBioNTech']",Twitter for Android,0,0,False
10049,1429803440276922368,WBV,"-21.233062,-159.768677","meh, I'm just me take it or leave it. I like food, I like tech, I like information. Go Hawks!",2009-04-29 19:53:49,48,478,2343,False,2021-08-23 13:51:19,And cue the goalposts being moved all over this morning. #PfizerBiontech,['PfizerBiontech'],Twitter for Android,0,0,False
4690,1354788884828270592,karamozov haters n°2654,France,"Never complain, never explain",2012-12-18 15:37:48,4809,4707,12267,False,2021-01-28 13:50:15,@vonderleyen @EmmanuelMacron  How much vaccine will will get in te 6 next months ? When ? #PfizerBioNTech #Moderna… https://t.co/UeupZABApw,"['PfizerBioNTech', 'Moderna']",Twitter Web App,0,0,False
2632,1347535897286369282,Adam Toms,United Kingdom,‘Best Reporter’ 19/20 @redbrickpaper 📰 | Founder of @PointsMoot blog & pod | Words in @Derbyshire_live | History grad @DerbyUni & @unibirmingham | RT ❌ endorse,2011-09-26 18:06:47,244,994,25934,False,2021-01-08 13:29:28,Huge planned winter rollout of #vaccine will be done using only #AstraZeneca and #PfizerBioNTech for now despite to… https://t.co/PeXpPOEIJ1,"['vaccine', 'AstraZeneca', 'PfizerBioNTech']",Twitter for iPhone,0,0,False
8214,1393855282946707457,Bioeksen,Turkey,#PCR #qPCR #DNA #RNA #HRM #NGS #cDNA #MolecularMicrobiology #RoboticNAIsolation #DNARNAIsolationandQuantitaion,2016-03-21 07:55:42,142,24,10,False,2021-05-16 09:06:10,"No or minimal impact on post-vaccine neutralization for #Moderna , #PfizerBioNTech , Oxford #AstraZeneca , #Novavax… https://t.co/lFl8iY84dh","['Moderna', 'PfizerBioNTech', 'AstraZeneca', 'Novavax']",Twitter Web App,0,0,False
5374,1358841517817880582,مہر المعین المعلوم,سیارہ زمین,,2009-09-12 15:25:20,311,222,15307,False,2021-02-08 18:13:58,"#BillGatesBioTerrorist will soon be releasing another security update for #vaccine.
#PfizerBiontech vaccine Release… https://t.co/sVNsxvfFxU","['BillGatesBioTerrorist', 'vaccine', 'PfizerBiontech']",Twitter for Android,0,1,False
9945,1429969572975755268,Anirban Sen Gupta,Case Western Reserve Univ,"Professor @CWRUBME. Bio-inspired Engineering for Advanced Therapeutics (BEAT) Lab @Sen_Gupta_Lab, @aimbe Fellow, Inventor, Entrepreneur, Co-Founder @HaimaThr",2012-10-24 13:07:42,2134,1436,28608,False,2021-08-24 00:51:28,A gorgeous sunset to celebrate FDA approval of #PfizerBiontech vaccine for COVID-19….and the first day of class… https://t.co/RFyUvjX9AX,['PfizerBiontech'],Twitter for iPhone,0,29,False
8584,1397373476537835522,Mary Rose,"Oakville, Ontario",Dont be so quick to believe what you hear because lies spread quicker than the truth :),2017-02-27 00:14:58,84,75,1876,False,2021-05-26 02:06:13,Yeeyy Got my first covid vaccine dose ☺️☺️ #PfizerBioNTech,['PfizerBioNTech'],Twitter for iPhone,0,0,False
7824,1379899636702318593,Troy Swezey,Las Vegas,"Proofreader for court reporters. @VeteranProofer Army veteran. Iconoclast. Digs: 007, F1 / E, Rock’N’Roll. #GoodGrammarIsSexy #NeverForget #GoodWithoutGod",2009-06-24 18:31:53,2854,2837,4099,False,2021-04-07 20:51:25,@askjillian Had second #PfizerBiontech 11 days ago. Arm was tender to the touch for 4 days. No other side effects.… https://t.co/uyyF3KRX5z,['PfizerBiontech'],Twitter Web App,0,0,False
3938,1350772172273430528,Patricia Hamila,"Nice, France","A mix of American, French, Italian and Tunisian. Living my best life on the French Riviera. Slightly obsessed with my cat and highly opinionated.",2015-10-03 05:59:58,21,320,1010,False,2021-01-17 11:49:16,My parents will be getting their first #COVID19 #vaccinations tomorrow morning! What a relief. Thank you @cestrosi… https://t.co/Z6TMTaAAgA,"['COVID19', 'vaccinations']",Twitter for Android,0,0,False
10036,1429810250278965255,Stephen Mutoro,"Nairobi, Kenya","SG, @Cofek_Africa| 1st Chair, @Kecopac_ke| MT, @ElimikaTrust| Ex-Chair, Taskforce on Values & Principles of Public Service| Chair @StopCrimeKenya| Views my own!",2018-08-01 15:21:17,40557,16586,56062,True,2021-08-23 14:18:22,"The FDA granted full approval to the Pfizer-BioNTech vaccine, a first for a #Covid19 jab in the U.S. Analysts say t… https://t.co/q3Wl2b66fj",['Covid19'],Twitter for Android,0,0,False
10490,1443224852907790336,Flo Rence,,"I'm not crazy, I'm just a little unwell. 🤘😉",2020-06-20 10:34:43,10,59,369,False,2021-09-29 14:43:13,"Just got my 1st dose today. Earliest among them all. Chour 😅💉
 #PfizerBiontech #Resbakuna https://t.co/MKebw91yAQ","['PfizerBiontech', 'Resbakuna']",Twitter for Android,0,1,False
1980,1344521839356354560,Meg D,TX,"like I ever use this. science, music, books, animals, fishkeeping.",2013-06-23 19:39:47,18,104,1813,False,2020-12-31 05:52:41,Yo this medtech is vaccinated!  #CovidVaccine  #PfizerBioNTech,"['CovidVaccine', 'PfizerBioNTech']",Twitter for Android,0,0,False
5211,1357357788708618248,FlatBio,"Princeton, NJ","Impactful developments in cancer research & innovation, trends in life science that may shape industry, academia, and people’s lives and well-being",2018-08-31 19:21:23,112,1755,582,False,2021-02-04 15:58:09,"UK launched a #clinicaltrial to study mixing two different #vaccines together, the #OxfordAstraZeneca and… https://t.co/8QGpl9pbzo","['clinicaltrial', 'vaccines', 'OxfordAstraZeneca']",Twitter Web App,0,0,False
5068,1356271089198919680,RoyaNewsEnglish,,"Roya TV's official English language account, delivering top local and international news.",2015-07-30 10:12:42,3251,61,39,False,2021-02-01 16:00:00,"On Dec. 21, the #EU approved the #PfizerBioNTech vaccine.
#COVID19 
@vonderleyen 
https://t.co/CzsPYkvVsq","['EU', 'PfizerBioNTech', 'COVID19']",Twitter Web App,0,0,False
4059,1351636513293910016,Rachna Tandon,Delhi/Meerut,"District Epidemiologist, Meerut (IDSP). MDI-Gurgaon Alumni. Tweets are personal opinion. RTs are not an endorsement.",2014-10-02 20:07:17,77,125,104,False,2021-01-19 21:03:51,Norway says no link between #PfizerBioNTech's #COVID19 #vaccine and deaths of 33 elderly recipients' deaths but rec… https://t.co/QQ8v3urqVj,"['PfizerBioNTech', 'COVID19', 'vaccine']",Twitter Web App,0,0,False
10898,1458835792164364300,Sushmita Panda,"Delhi, India",India Correspondent @sputnikint | Covering Health | Potterhead | Alum: @acjindia | tips/lead: 📩 s.panda@sputniknews.com,2011-08-01 08:09:32,2442,482,17039,True,2021-11-11 16:35:31,"The mRNA (messenger-RNA) COVID-19 vaccines from #PfizerBioNTech, and the other from #Moderna have been suspected of… https://t.co/aBluuauNw2","['PfizerBioNTech', 'Moderna']",Twitter for Android,0,0,False
5141,1357093560680665088,Melhim Bou Alwan,"Atlanta, GA","Lebanese physician living in Atlanta. Multiple degrees: Harvard, Emory, AUB. Using words to fight injustice.",2009-10-25 21:39:19,263,288,2851,False,2021-02-03 22:28:13,"#vaccinated &gt; #infected 
A few minor reactions &lt; 447,000 dead
Let’s go #TeamUSA 
#PfizerBiontech #Moderna #COVID19… https://t.co/WHkKDDbzoc","['vaccinated', 'infected', 'TeamUSA', 'PfizerBiontech', 'Moderna', 'COVID19']",Twitter for iPhone,0,2,False
10297,1430860447150862339,Zhantti de Zuñiga,Philippines,"Life is good; Be grateful for each day you live, for the air that you breathe, for the people who love you and whom you love. Find your purpose & be a blessing.",2009-07-28 07:19:50,49,103,151,False,2021-08-26 11:51:29,Got my first dose of #PfizerBiontech #COVID19Vaccination,"['PfizerBiontech', 'COVID19Vaccination']",Twitter for Android,0,1,False
4878,1354835696523956224,Wendy Hasson MD,"Portland, OR","Board certified in pediatrics, pediatric critical care, and dark humor. #pedsicu Coagulation/ECMO nerd. Vaccine advocate. Boy mom. Reality TV enthusiast.",2021-01-08 12:32:24,42,86,21,False,2021-01-28 16:56:16,This vaccine is safe and effective. Do not let fear of rare and unlikely events overshadow the awe of this 95% effe… https://t.co/q1Nhuf981c,,Twitter for iPhone,0,1,False
6664,1368979495865221120,Samira Jeimy,"London, Ontario",Clinical Immunologist and Allergist @WesternU. Alumnus of @UofTmedicine and @MacMedSci. Opinions are my own.,2009-02-02 02:12:14,1066,291,1854,False,2021-03-08 17:38:40,"Thank you for distilling this information @KimberlyBlumen1! 🙌🏽
#COVID19 #vaccine #mRNA #moderna #PfizerBiontech https://t.co/YRaiLcpKRh","['COVID19', 'vaccine', 'mRNA', 'moderna', 'PfizerBiontech']",Twitter for iPhone,0,1,False
5481,1360164743953014784,CHEManager International,"Weinheim, Germany","Wiley’s leading media brand providing first-hand information on the global chemical, life science and process industries.  https://t.co/xh8S6IJnaB",2010-01-14 07:42:26,3532,1197,467,False,2021-02-12 09:52:00,"#BioNTech has started production of #mRNA, the active ingredient in #PfizerBiontech's #Covid19vaccine, at its… https://t.co/c2PJWYKSoZ","['BioNTech', 'mRNA', 'PfizerBiontech', 'Covid19vaccine']",TweetDeck,0,1,False
4931,1355328306397241353,Harold Dave,"Toronto, Ontario",You can ✨ | Instagram & Snapchat: @harolddave,2009-04-27 10:05:05,812,1273,27821,False,2021-01-30 01:33:43,I just have to 🤪💉🦠 #COVIDVaccination #CovidVaccine #PfizerBioNTech https://t.co/2yjwsNp8Aq,"['COVIDVaccination', 'CovidVaccine', 'PfizerBioNTech']",Twitter for iPhone,0,2,False
2296,1346559954057093121,Ju #AntiTory⚘ #AntiTrump,"London, England","Leftwing internationalist.Independent observer of world affairs.Orwell couldn't have imagined this.
#staysafe 

RT/Like not necessarily an endorsement.",2018-12-27 15:15:05,18117,17925,131643,False,2021-01-05 20:51:25,As did #PfizerBioNTech https://t.co/Tmmr5Pq7Vf,['PfizerBioNTech'],Twitter for Android,0,1,False
7570,1378391569905156099,Shaheen,,"A doctor whose interests lie in medicine, technology, art, photography, Islam, seeking knowledge on various topics and travelling.",2014-03-07 16:08:48,99,103,1292,False,2021-04-03 16:58:54,"Day 2: 27.5 hours post-vaccine (presently), Fever has gone up to 38.4°C. HR 114. BP 124/86. Some dull pain in the n… https://t.co/3pjB1WjKDe",,Twitter for Android,0,0,False
9605,1424316960242872321,CorkKerryCommunityHealthcare,,Providing quality services to enable everyone to optimise their health and wellbeing. Not monitored 24/7. Contact @HSElive for queries,2019-03-07 11:55:59,1499,263,2633,False,2021-08-08 10:30:00,"Have you got your vaccine yet? 
A proud Ryan displaying the #ForUsAll badge, after receiving the first dose of… https://t.co/2W8ZdJ6SFo",['ForUsAll'],Twitter Web App,1,5,False
7930,1383448025326964738,shanna,"Nashville, TN",28 | KCT 🦞♡ | cat mom x2 ☼ 𝔽𝕚𝕥𝕟𝕖𝕤𝕤 𝕛𝕠𝕦𝕣𝕟𝕖𝕪 𝕚𝕟 𝕡𝕣𝕠𝕘𝕣𝕖𝕤𝕤 ☼ 𝚖𝚎𝚝𝚊𝚗𝚘𝚒𝚊,2011-12-12 23:50:32,249,829,67892,False,2021-04-17 15:51:27,"Got my last covid vaccine. 🦠💉 Per the CDC, I’ll be fully vaccinated 2 weeks from today. #PfizerBioNTech… https://t.co/nNBzxcHwCh",['PfizerBioNTech'],Twitter for iPhone,0,1,False
3233,1348545969156206597,Iranian Community Romania,,,2020-06-10 17:13:38,478,1048,12993,False,2021-01-11 08:23:08,"#Iran:#Coronavirus Death Toll Exceeds199,300
.@Maryam_Rajavi:Khamenei’s Red Crescent announced a ban on importing15… https://t.co/BUPfoUeWVO","['Iran', 'Coronavirus']",Twitter Web App,1,1,False
6466,1367195574064144384,The Peninsula Qatar,Qatar,The official account of The Peninsula English Daily Newspaper #Qatar #Doha,2009-07-25 08:41:05,52853,240,775,True,2021-03-03 19:30:00,"The #CzechRepublic and #Slovakia both under severe pressure from the #coronavirus pandemic, will each receive an ex… https://t.co/iZt6C7zSrI","['CzechRepublic', 'Slovakia', 'coronavirus']",TweetDeck,0,1,False
7929,1383463223693766656,L R Hay 💙,"Capernaum, 29 CE","#WritersGuildAward winner
The Young Testament: ""quirky, funny, immensely enjoyable"" full-length preteen books #JosephsBoy #JairusGirl
A kids'-eye view of Jesus!",2016-08-18 19:55:59,3895,4709,35074,False,2021-04-17 16:51:50,"This morning someone stuck a pin in me 
- and later, far more importantly, in my mother - 
and I went for a walk.
S… https://t.co/TgGHyvmVSV",,Twitter Web App,0,9,False
3170,1348715645983199235,kambiz mahmoudpour - مسول انجمن آزادی ادیان,Denmark,"My heart beating for peace, freedom & equality",2009-08-26 18:38:03,4535,4973,165150,False,2021-01-11 19:37:22,"https://t.co/YHI0H1Yx6V
Khamenei’s Red Crescent announced a ban on the import of 150,000 #PfizerBioNTech #vaccines.… https://t.co/eL8RhMXsDk","['PfizerBioNTech', 'vaccines']",Twitter Web App,0,0,False
2755,1347254931175084033,Alan Forseth,"Kamloops, BC","I'm a small 'c' conservative, and BC & Canadian political junkie. 
E: bcpoliandmore@gmail.com  
Cell: 250.574.0328
F: https://t.co/9we2VyHIwh",2012-01-09 23:31:19,837,1641,4780,False,2021-01-07 18:53:01,@DanAlbas: To put it bluntly it will be some time before the vaccine delivery will make a significant impact… https://t.co/hFiOBYBCeC,,Twitter Web App,1,0,False
2358,1346397998419472384,Pipnotic,,"Home of the #priceaction trader. Follow for #trading insights, education and tools for people who wish to take responsibility for their investments.",2012-06-10 11:17:12,1004,264,685,False,2021-01-05 10:07:52,Will the #covid19 #vaccine actually increase fatality rates when #vaccinated patients are exposed to the… https://t.co/7XhshyVuc7,"['covid19', 'vaccine', 'vaccinated']",Twitter Web App,0,1,False
4285,1352275883650932744,Michael Robinson,"Newcastle Upon Tyne, England",life’s always better when you’re laughing! 👬🏠🙂🐶🐶🐱🐰✈️🏖🏝,2010-10-09 12:17:41,266,1242,12765,False,2021-01-21 15:24:29,Can’t explain How relieved I am to have both my grandparents who are in there late 80s and housebound that have car… https://t.co/In7Kbsqayl,,Twitter for iPhone,0,2,False
9456,1421612924615933952,Indep. Workers Party,"Chicago, IL",Trotskyists out to #AbolishCapitalism! Capitalism *IS* Organized Crime! Proud member of #TheUnVaccinated! #NoMandatoryCOVID19Vaccinations iwpchi@gmx.com,2013-03-12 15:45:38,1430,3764,17912,False,2021-07-31 23:25:08,So let's break this down: according to @CDCgov it's perfectly acceptable that 9.3% of the 8.9 million US adolescent… https://t.co/aFJcz5WsOG,,Twitter Web App,0,0,False
